Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",158.242000,-102.531200,90.000000,top
"C2","10uF","C_0805_2012Metric",160.934400,-102.311200,90.000000,top
"C4","0.1uF","C_0603_1608Metric",125.882400,-80.050200,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",132.638800,-91.617800,90.000000,top
"C7","10uF","C_0805_2012Metric",130.606800,-91.490800,90.000000,top
"C8","0.1uF","C_0603_1608Metric",149.464400,-66.350200,90.000000,top
"C9","0.1uF","C_0603_1608Metric",160.934400,-84.404200,90.000000,top
"C10","330uF","CP_EIA-7343-31_Kemet-D_HandSolder",161.188400,-73.609200,90.000000,top
"C11","1uF","C_0603_1608Metric",136.296400,-68.529200,90.000000,top
"C12","470uF","CP_EIA-7343-31_Kemet-D_HandSolder",129.448699,-72.051200,-90.000000,top
"C13","1uF","C_0603_1608Metric",159.156400,-84.391200,90.000000,top
"D2","Diode","P27_DO-214AB_SMC",135.892400,-73.723204,0.000000,top
"F2","MF-MSMF300_6X-2","MFMSMF3006X2",122.078699,-70.053200,0.000000,top
"H1","MountingHole","MountingHole_3.2mm_M3",114.986342,-64.107415,0.000000,top
"H2","MountingHole","MountingHole_3.2mm_M3",114.991060,-106.701543,0.000000,top
"H3","MountingHole","MountingHole_3.2mm_M3",171.602400,-106.693579,0.000000,top
"H4","MountingHole","MountingHole_3.2mm_M3",171.602400,-64.107415,0.000000,top
"IC1","SN74LV1T34QDBVRQ1","SOT95P280X145-5N",152.786400,-66.055200,180.000000,top
"IC2","FDC1004QDGSRQ1","SOP50P490X110-10N",166.014400,-85.293200,180.000000,top
"Je1","10155435-00011LF-Custom","2130830005_MOL",111.664699,-79.275200,-90.000000,top
"L2","22uH","INDPM110100X400N",151.448699,-74.371200,0.000000,top
"LED_Pins1","Conn_01x03_Pin","SolderWire-1sqmm_1x03_P5.4mm_D1.4mm_OD2.7mm",146.048699,-61.417200,0.000000,top
"Q1","Q_NPN_BEC","SOT-23-3_1P4X3P040_ONS",126.898400,-102.565200,-90.000000,top
"Q2","Q_NPN_BEC","SOT-23-3_1P4X3P040_ONS",126.898400,-98.755200,-90.000000,top
"R2","12k","R_0603_1608Metric",120.548400,-101.549200,180.000000,top
"R3","12k","R_0603_1608Metric",120.548400,-97.739200,180.000000,top
"R5","5.1k","R_0603_1608Metric",118.008400,-76.771204,180.000000,top
"R6","5.1k","R_0603_1608Metric",118.008400,-81.343204,180.000000,top
"R7","27","R_0603_1608Metric",131.978400,-80.073204,90.000000,top
"R8","27","R_0603_1608Metric",130.200400,-80.073204,90.000000,top
"R9","4.7k","R_0603_1608Metric",154.965400,-86.055200,90.000000,top
"R10","4.7k","R_0603_1608Metric",157.378400,-86.055200,90.000000,top
"R11","499","R_0603_1608Metric",131.216400,-95.707200,180.000000,top
"SW1","RST","SW_Push_SPST_NO_Alps_SKRK",160.160400,-97.485200,180.000000,top
"Touch_Sensors1","Conn_01x04_Pin","SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm",173.380400,-92.193200,90.000000,top
"U1","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",123.976400,-91.389200,180.000000,top
"U3","USBLC6-2SC6","SOT-23-6",122.326400,-79.311204,0.000000,top
"U4","XL1509-3.3","SOIC-8_3.9x4.9mm_P1.27mm",139.948699,-66.321200,90.000000,top
"U5","ESP32-C3-WROOM-02-N4","MODULE_ESP32-C3-WROOM-02-H4",145.214400,-100.935200,180.000000,top
"Ur1","CPDQR5V0U","CPDQR",115.849400,-69.532500,90.000000,top
